OBJECTID,AREA,PERIMETER,DAMS500G_,DAMS500G_I,STATION,NAME,X_COORD,Y_COORD,TYPE,ALIAS,FEAT_ID,AREA_KM2,Shape_Length,Shape_Area
146,0.000221439695,0.0905580297,147,83,B1R999Q01,Trichardsfontein,29.252449,-26.5001507,RESERVOIR, ,0,2.214397e-10,0.0905580206591793,0.000221439690974666
147,0.000177326627,0.0875927657,148,77, ,Leeupan279IO,25.5997925,-26.5323696,NATURAL, ,0,1.77326626e-10,0.087592762713317,0.000177326634976314
148,0.000329219823,0.134003088,149,225,C2R001Q01,Boskop,27.1197319,-26.5506706,RESERVOIR, ,0,3.29219818e-10,0.134003080408704,0.000329219818786346
149,0.000527069438,0.114202097,150,511, ,Leeupan532IR,28.9950867,-26.5663605,RESERVOIR, ,0,5.27069444e-10,0.114202100112562,0.00052706945616982
150,0.00127040152,0.229509264,151,80,C3R003Q01,Barberspan,25.5878258,-26.5841599,NATURAL, ,0,1.27040156e-09,0.229509267303519,0.00127040151259128
151,0.00038345356,0.104785852,152,86,C2R005Q01,Klipdrif,27.3135052,-26.6074505,RESERVOIR, ,0,3.83453547e-10,0.104785849641109,0.000383453569410467
152,0.000766919868,0.356134146,153,89,W5R001Q01,Jericho,30.4702892,-26.6486797,RESERVOIR, ,0,7.66919861e-10,0.356134150165564,0.00076691986916862
153,4.9262133e-05,0.0433211587,154,211,C2R004Q01,Potchefstroom,27.097168,-26.66712,RESERVOIR, ,0,4.92621326e-11,0.0433211568893985,4.92621323523948e-05
154,0.00112111284,1.6462115,155,1,C2R008Q01,Vaal Barrage,27.7953682,-26.7494297,RESERVOIR, ,0,1.12111287e-09,1.64621151318258,0.0011211128245572
155,9.8954617e-05,0.0437236838,156,212, ,Leeukuil,27.8928337,-26.6850491,RESERVOIR, ,0,9.89546153e-11,0.0437236837277537,9.89546151429889e-05
156,5.08125449e-05,0.030107243,157,87, ,Modder,27.1631317,-26.6947002,RESERVOIR, ,0,5.08125451e-11,0.030107245388569,5.08125461340412e-05
